#separator:tab
#html:false
#deck column:3
#tags column:4
#columns:Front	Back	Deck	Tags
¿Por qué la obesidad NO es 'acumulación pasiva de calorías'?	Porque el peso está regulado por un sistema homeostático (cerebro–intestino–tejido adiposo) que defiende un nivel de adiposidad; en la obesidad ese sistema defiende un nivel más alto (Endocrine Society, Schwartz 2017).	APEX::LIVIANO::fisiologia	liviano::fisiologia d01 mecanismo
¿Qué implica para el tratamiento que la obesidad sea una enfermedad del sistema regulador?	Que se maneja de forma CRÓNICA (como la hipertensión), no con un esfuerzo de voluntad puntual: al retirar el tratamiento vuelve la presión biológica hacia el peso defendido.	APEX::LIVIANO::fisiologia	liviano::fisiologia d01 mecanismo
¿Qué tres órganos/tejidos forman el sistema que regula el peso y qué informa cada uno?	Tejido adiposo (leptina: cuánta reserva hay), intestino (grelina antes de comer; GLP-1/PYY/CCK después: qué pasa con la comida ahora) e hipotálamo/tronco encefálico (integran y ajustan hambre y gasto).	APEX::LIVIANO::fisiologia	liviano::fisiologia d01 mecanismo
¿Qué significa que el cerebro 'defiende' un set point de adiposidad?	Detecta desviaciones del peso (vía leptina y otras señales) y las corrige ajustando hambre y gasto energético para volver al nivel defendido.	APEX::LIVIANO::fisiologia	liviano::fisiologia d02 mecanismo
¿Por qué la dieta sola rara vez cambia el set point?	Porque el sistema interpreta la pérdida como amenaza: sube el hambre y baja el gasto para devolver el peso al nivel defendido — la dieta pelea contra el termostato, no lo resetea.	APEX::LIVIANO::fisiologia	liviano::fisiologia d02 mecanismo
¿Por qué dos personas con la misma dieta y disciplina terminan con pesos distintos?	Porque el nivel que su cerebro defiende (set point) es distinto: la biología fija el punto que la conducta intenta mover; la misma disciplina opera contra una presión diferente en cada uno.	APEX::LIVIANO::fisiologia	liviano::fisiologia d02 mecanismo
¿Qué le informa la leptina al hipotálamo?	El tamaño de las reservas de grasa: la secreta el tejido adiposo en proporción a la masa grasa.	APEX::LIVIANO::fisiologia	liviano::fisiologia d03 mecanismo
¿Qué pasa con la leptina al bajar de peso y cómo lo interpreta el cerebro?	Cae. El hipotálamo lo lee como 'hambruna' → aumenta el hambre y reduce el gasto energético.	APEX::LIVIANO::fisiologia	liviano::fisiologia d03 mecanismo
¿Qué pasa con la leptina cuando el tejido adiposo crece y qué esperaríamos que hiciera?	Sube en proporción a la masa grasa; en un sistema sano eso frenaría el hambre y subiría el gasto. En obesidad la señal alta no produce esa respuesta (resistencia leptínica).	APEX::LIVIANO::fisiologia	liviano::fisiologia d03 mecanismo
¿Por qué la leptina alta de la persona con obesidad no frena el hambre?	Por resistencia a su señal: hay mucha leptina pero el hipotálamo responde poco ('el timbre suena, nadie abre'); por eso dar leptina exógena no funcionó en la obesidad común.	APEX::LIVIANO::fisiologia	liviano::fisiologia d04 mecanismo
¿Por qué dar leptina exógena no funcionó en la obesidad común?	Porque el problema no es falta de leptina sino falta de respuesta a ella: el hipotálamo ya recibe mucha señal y no la 'escucha'; añadir más no cambia la lectura (solo funciona en la deficiencia congénita de leptina).	APEX::LIVIANO::fisiologia	liviano::fisiologia d04 mecanismo
¿Qué asimetría del sistema explica que sea más fácil subir de peso que bajar?	El cerebro responde con fuerza a la CAÍDA de leptina (defensa contra la hambruna: más hambre, menos gasto) y débilmente a su SUBIDA: el sistema está diseñado para proteger reservas, no para evitar excesos.	APEX::LIVIANO::fisiologia	liviano::fisiologia d04 mecanismo
¿Qué hacen las neuronas AgRP/NPY del núcleo arcuato?	Son el ACELERADOR del hambre: se activan con déficit energético (leptina baja, grelina alta) y disparan búsqueda e ingesta de comida.	APEX::LIVIANO::fisiologia	liviano::fisiologia d06 mecanismo
